HolderAddress,Balance,PendingBalanceUpdate
0x405715ab97d667be039396adbc99b440d327febb,4.57669E+13,No
0x1acba73121d5f63d8ea40bdc64edb594bd88ed09,1.13152E+13,No
0xca81d2ad6c598aaed5f4f829155df00160a072d0,1.83124E+12,No
0x6dfcd4331b0d86bfe0318706c76b832da4c03c1b,6.7168E+11,No
0x000000000000000000000000000000000000dead,5.61517E+11,No
0x6431130043920b6176bd7a77ee17a58a02998b2e,5.44819E+11,No
0x6c5f8a421221ddb47580e29cbf7526ffeec96eee,5.02081E+11,No
0x6d4c48cfce223f5e16ff555a2734d45d7ce4b147,4.39175E+11,No
0xc18732c17f0bec6da2e9aed4f96037d244736971,4.212E+11,No
0xc0fa8e099dcc61ca512486b67ea5ab88c62bfcba,4.03528E+11,No
0x2bd42791ef225f4a157e3f88e231a7b76e588777,3.66551E+11,No
0x2765bec4cc1c5140b920237a66e2f05fa2583320,3.56328E+11,No
0x1b6c002f28b866bb92c8fa1d9ac1923a626c2f70,3.50855E+11,No
0x17e4f1e9513afa6f2b75bb4e4c785a24478581c4,2.97246E+11,No
0x80b641ea8f90134d42fb71adf576759748569122,2.69403E+11,No
0x72bc2f1ea342f92d59b3e2c5334ffdb6f63fa541,2.57987E+11,No
0xeae259c63cc882b68640ade49e8ae15f9b606f93,2.53123E+11,No
0x49de532f4b7a166c8f62f601094d32fdcbb912d1,2.51567E+11,No
0xd981388631e5e3e9c0aa6550d6ebe24569c8a3e5,2.51417E+11,No
0x16661a4b9ca07cf9a67b7b43d723a664136f87a8,2.50456E+11,No
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,2.49776E+11,No
0xc775cda19783dccab55b26903c13280869a4ba96,2.4919E+11,No
0xee5a93c5ba32e5db801ee557f497b72037601452,2.40641E+11,No
0xad45320077fc7a0f0a43976ac7dbacc65ad21d8f,2.19906E+11,No
0xd6fc922444aae40fe0bce0ffa55b868b8260b003,2.18145E+11,No
0xe68124b9cd05fa7a1f3923f1b01ab593d62d59d2,2.15726E+11,No
0x719a8c5c525c6caab72e82e7ad34642d6771b06f,2.11464E+11,No
0xe67b065935b1ce5d9e04c1fb5ca546a0f26906d1,2.11017E+11,No
0xa95a4bc831e39de0240da3c1c328fd58a401289e,2.05337E+11,No
0x894ce05d38126f06f5b2450a5ba5fed948191517,2.02631E+11,No
0x458219485fd43d9e62dde453f854cede0afb5913,2.00011E+11,No
0x8cdbdb4a43cafa26211f02263821ca9a0332d76f,1.98429E+11,No
0xbe4c1ba1aa587d9d6abc8b9db6ad421ba230dc08,1.94384E+11,No
0xc6a0628e8e5d7f2e7ffaf95145427669b28c87ca,1.80072E+11,No
0x8696c30f1f6a213886a577e3ca8652dac532eec1,1.79711E+11,No
0x5a3d453e0f5b4ca1351a8d82fad66108c12472b1,1.7871E+11,No
0xefd1f6e8d1f487ab07c0fcff90d181121cb08c86,1.77211E+11,No
0x29b3eeb3605d473ac77c9f35bcfdecef297126a0,1.74594E+11,No
0xacee026ffe396347309892dbad95bee31b8366f6,1.69939E+11,No
0xe00b7b8b55780d4ec44512c4af2076a734079273,1.6965E+11,No
0x18f8bc092d97094414c1ab3e61603a6db745fdea,1.57477E+11,No
0xe2964ead5ca109ec5eb1fae9a3f6512d13b32cde,1.53903E+11,No
0x6878703772168bab87e7a2a1a08e4e4e254a2c04,1.52495E+11,No
0x91f15f365f0fa14b756655d1188c391c69c00909,1.4977E+11,No
0x441e67e9c2a6a9e82701acbd58fd660123c9a027,1.37433E+11,No
0x575683097dbdc71148a5ccd6e8f77554d228b6ce,1.36003E+11,No
0x68fa09bbd73ec7cddc0ea2e59137d6da2f532fa9,1.31984E+11,No
0x474714b41af46f6b95e799fb842f8da2bf2f36ec,1.31741E+11,No
0x12131c1a56a885ad64aca4db449a1473d591f536,1.30693E+11,No
0xd5deef0d44054eaa4181ac0ef606bd253fc6e911,1.294E+11,No
0xa803fc1c1e83d6389865e1248dc924ed4c6953de,1.25131E+11,No
0x3a0038385e7f234108f35c877c2591eec2097147,1.24819E+11,No
0xfa2f03908890e4b3b311b25edd1aeb7f9e3279da,1.24456E+11,No
0x6ee4180df91a443127339e189eb2ae934b47a5a6,1.23938E+11,No
0xb38ae4415fa0ada7ccdf0e32361b162abac57c77,1.16141E+11,No
0x7f15fbbc65e1360151b6c45aa4de03440375ad30,1.1527E+11,No
0x48419aa0c7f4c837ceea1fc7d8b9110f264f8e67,1.15145E+11,No
0x14290920ddf69e07a3b8e5b6a40b51dc75a802c2,1.14161E+11,No
0x2d5304ba4f2c6eff5d53cecf64af89818a416cb9,1.10173E+11,No
0x672bb9b7d941be4b52155f5856c2dd75208bc954,1.09389E+11,No
0x1de04bf8374b9aa55f393c33ae0aac5e74d94f0c,1.07078E+11,No
0x6302ee681f9184261b2a0340f84c633598e0776f,1.06573E+11,No
0x66fa58afbf9b2417e17aac5e01272f5df9b53520,1.06275E+11,No
0x0fc9b85ddf37744cc6ecb2b19835910b0995d714,1.0403E+11,No
0x9ab7babc5b14b8f6d15dd2c806a58dfc84b31449,1.01768E+11,No
0x1bcbe4509bf36288b23d8125be37d4cbe11282da,1.01705E+11,No
0xdc1bd3504f29c530a29da377e8b0d3a42038f9cc,1.01021E+11,No
0x42993e5307f09759dae6ba39d6f20972472262b3,98932776661,No
0xcaa8d316f3226d3ee855a3b527be18728ed3a058,98847979180,No
0xd757854879c9bf70b35425228c4dc52a6eacb372,98189348799,No
0x7b743866ba0a69cc0e9fb659a82cfa87375613e0,96238036245,No
0x007376ef4b1409fd5ccc558bf1ba07293e813f7a,95024922438,No
0x1f5ddcedd3a12e8b06651860fa4e74926156f531,94807891096,No
0x49e23ac04e2369fe25192d931e4cdc4d093a4c1b,94239306611,No
0xc8a8947abdb08b67421c923610faef6107f492e3,92338098858,No
0x3fe87f8dc82b826d59b8ed9e8dd6921ef4299ea6,91787352160,No
0x29506e0df7bf1307db041d44a2874032f9755f76,91659325280,No
0x5af94a82ca028dc800a93ea4084a1f12abc4fcc2,88452682560,No
0x00c4f069e356283328f270351aefa4015f236d11,88430891838,No
0xeb60371a7dfaac116364dad1438b1f3107104c48,88194260695,No
0x6ccdf27b327b624044a37b1aca0615c189a7591f,86708877830,No
0xd2f64612bc43120a2ba39a9be10fe60901f2dece,86501240548,No
0xd64a49324d0777121f6a54cc3e9b7821f3eb67f5,85716127096,No
0xb0217aee69d152a6ff5bcdcf07c1aa941b22d2a9,85345894552,No
0x256652bf470953ab632543f217577c6bf0a6ae5a,83574182727,No
0xc0d39addc6e5bd78bddfacf8a1c7daa1d6834fc8,82475929630,No
0x23ae2e424be99502a0d438fcea9b864233f241e8,80460973263,No
0x0eb36345c9da8c625eb52f4c0301a8d0a34750e1,78608118395,No
0x83a065788574c0f5ce6164a442b2b80fe7146d06,77471064025,No
0x990dde76bea943379056a3284029bd209c439554,77456294612,No
0xe6728c15ee1eb8ed510a586e49a9324690f77d96,77075689034,No
0xe37582cb7ae307196d6e789b7f8ccb665d34ac77,76647599512,No
0x2a9b73fe7dfe54c3cb214deef10f5332e4143fb6,75457439973,No
0x1fa9e790ac6641a19fd5dc99d2f7f36ca33750a8,74129145016,No
0xd15dcd096ddb04cbe2c400d6933bfef59a9c23a8,74010386108,No
0x8d910650510ca279e106aae234dc4ea8da3d3b51,71186985269,No
0x332bfb6f0af34f3077662e961f1258e9e7897682,71037551755,No
0x1c2ddf71c44a9f8035dff811808e247fbbf6a984,70959740821,No
0x75c231c16af661142252087b01a110a5f2b9558c,70929576304,No
0xde7def9d5e998166574062b6e737ca44de93465b,70813088527,No
0xb4f26ad213314e07260e22f3c7a7ec299802b13b,70737229827,No
0x81ac0b00f02b7df66f3800d0dfd8622c74d78e62,70305786209,No
0x57310b0650dd2f3af485b132807df217373b6df4,69846571218,No
0x6ada7ad6f6d5928faf543b30ee0f39d213773606,69687135283,No
0xb543be393910b189308c5a66c006752bc949d251,68695043523,No
0xec0b4d09c14197ccc5449501cb42ea3213105f52,68615436892,No
0x4201f29cdc24ab132aeea9f09355dae7246be617,68301453939,No
0x6e8b0fe9bbe96ca00e4f23b44733885a972223fd,67831885484,No
0x57b0fe0f8de3448a2582c972cecc2c5563322e46,66936820378,No
0xf5987a055fc67978041c843f9babd3c8503c11e1,65172357962,No
0x230b2bfa213b72bcfcd31976a3a10130c3160c5a,64179019362,No
0x2a6e73055f1e4152c6140bca348c9c506905a32c,63767459636,No
0x71749af1e6a25ddf6f5c9711ea46fcbebfd1fb75,63040185814,No
0x307241b395c656cf6ab3a439d0373850c980679b,62670449793,No
0x2624382c3b5d27bfa0258463909a6b6ff9e6fe99,62470963030,No
0xa1b2a2dfe6300d3f2174e0a4f073fc0f78f5169f,61948313623,No
0x57a11da8f4a058f007c5d992f794e8cec2175227,61930958169,No
0x0b5279d1cd024d06cf18ec6452d55351859b4dbe,61527247502,No
0xe53c9441472678898467fabbde14db5f28b99f62,60168258766,No
0x7b93b07351b361dbd2984e08e045e62f5a6f8097,60158070108,No
0xe8b1cfb7ccba71fda188be1beb02a7bdcdd5ee5b,59357130344,No
0x3c42c2fdf74f2cf96beee8046f2dbd1d773318f3,58894299761,No
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,58732233765,No
0x237c1c5be5e766c7345dcefde099761a82093e0e,58210194813,No
0xbc719b564ee0ec646cb769997580c668834d9100,58052487765,No
0x8ba6abbb3c304164fb2dca64f5eb7b1e335b2e01,57694552732,No
0x4af3a85cd4c207d8b06133cf669b85ab3902e068,57676946268,No
0x8bb4f7f71a4a86e50c21f0a67c11dd05bb85a6bb,57045017766,No
0x19a6dde26cb64c45b4bcf27cf68d86505d6a3c9b,55282568086,No
0x55b8e2f5b5897026f5b716686ea5b729caddea5d,55139463990,No
0x5b9650eedacff59a42b6e98242eac652a6304888,54224491056,No
0xe0d65e3741f1beea47cdf6a5a60cf9ef9fb8411b,53313043204,No
0xfa1f4fc778e2c5343f4aca88ab4741ec5b7b6915,52990008805,No
0x8a876f10bcf0a5475d4650d640c8e6b530800dd1,52409161779,No
0x76f0f93aefea0bf0c584d6691c3c273e08be1ad3,51225357529,No
0xf5eaff0a20d95b055ede68a3d2ebe35e4763b11d,51086501030,No
0xf5a32e21e64d8a6ccc2cddf2782b3bc2091e20ff,50978816826,No
0x1b437ea18735cbb5c455a032a07898b15048ad12,50911186039,No
0x6c7fc8a77d594d3517afe976aef2d87c811140da,50795388694,No
0xeebacbe97a8fc080ae2b372ce2191f360667a22e,50352915394,No
0xd3a6d82ac8bcad992861edd8e6f0357e0dc2ffdc,50233241402,No
0xe1edbebd0d2a973ab3bd093aaa7f1165dd1e0cdf,50170805796,No
0x1d42b79e06ab4ab231a9cdb6b48b6309b41146e9,49724019818,No
0xd963f0a175be60226731f0d248d3bb47eb0c342f,49544501833,No
0x8eb2c3f57faa405eb243b1f9ebfc77ef7b672a7e,49500455493,No
0x909b15cd422190c8ddd32d9ab5d19e18a1b44e90,49119776700,No
0xa3ef7c5af000141d7ebf4976999f3116bd17ffad,49068685598,No
0xeeb0f7bf9a89a59856d674f9cd744239b89ea8de,49059622230,No
0x371f48e10537672816853692d36cdc700be7d84b,49017754503,No
0xb5eb038ddd607b4615001031a94f732cfb494cf9,48810027383,No
0x4743c35acde23bbff7181795062275a524f18859,48773394892,No
0xf58f74c686c698a7b9ce17b40baee1e51df82b08,48719938516,No
0xefb66616c5f901768d8ff2539e22a1b430ff636e,47640502207,No
0x09fd55eeb3f65d969f6017352801973c70ef900e,47465998570,No
0xa8ca1511ea3f650f6755022d2f247dbb3f5c03d0,47385019112,No
0x61f1230db5d1709a021358bac7541374df4b5dd2,47008120757,No
0x236fe98ad1ae47be2bcf376d4679243d66e24c0d,46925574205,No
0xfeed59fc39b22281874020ce6d349631431062bd,46106214370,No
0x37d750a597f8037e339483e8940f485ecb7fbedf,46046862246,No
0x6f7caf5d3d2b25c08d12432fb3f0e87836b3074a,45895300949,No
0x39a07c8f86ad67f75023df75ce7261508a99c52a,45170280026,No
0xbaa965d0c416b9edcbe1628e8ddb993bf576b68a,45016457087,No
0xe44fea1e6e1e018320e8a90cfba3ac58e3bfdcbe,44500892489,No
0xf028ed8b70b0692e2f9d422cc6091d60e7df2b61,44435161120,No
0x86a41524cb61edd8b115a72ad9735f8068996688,43748488569,No
0x65bd15774f34c3a7e09df262c447c5fb1c91a8d9,43480178627,No
0xaa90164915f8c936f3cdcfca2b8acdb81cd1c3b1,43015164398,No
0xc71f22f8d17b99c7553d7a3b0afc16c398fdbbb6,42758156829,No
0x11ce93e2e306f25221562014923d55aee867f53c,42539952599,No
0x6dc29e890523b611efd095c0c46f87246fd431f0,42433214396,No
0xcf58cba0ba30d0b327767241ae13d04611b999c7,42174774580,No
0x6d1e45fbb480d918706a7eb230729dedc2e7b66c,42014812649,No
0x150e51a676c98bfc229f163197e99fd9deb02a01,41734591640,No
0xe6b4eafd769f2d29ec4bd2f197e393ddb7d75b84,41447687272,No
